via,zona,numeri,citta
BARSUGLIA GIOVAN BATTISTA ,35 - B,TUTTI,VECCHIANO
BARTALACCI ,9 - A,TUTTI,CASCINA
BARTALINI ,43 - B,TUTTI,SAN GIULIANO TERME
BASILICATA ,13 - B,TUTTI,PISA
BASSI AGOSTINO ,5 - B,TUTTI,PISA
BASTIONE ,17 - A,TUTTI,PISA
BATTELLI ANGELO ,18 - A,TUTTI,PISA
BATTICHIODI ,16 - B,TUTTI,PISA
BATTISTI CESARE ,3 - A,TUTTI,PISA
BATTISTI CESARE ,34 - A,TUTTI,VECCHIANO
BATTISTI CESARE ,49,51; 53,PISA
BEATO AGNELLO ,1 - A,TUTTI,PISA
BEATO ALBERTO ,1 - A,TUTTI,PISA
BECCACCINO ,32 - A,TUTTI,VECCHIANO
BECCARIA CESARE ,16 - B,TUTTI,PISA
BECCARIA CESARE ,39 - B,TUTTI,SAN GIULIANO TERME
BECCARIA CESARE ,44,18,PISA
BELLATALLA ARCHIMEDE ,46,1; 1/A,PISA
BELLATALLA ARCHIMEDE ,5 - A,TUTTI,PISA
BELLAVISTA ,37 - B,TUTTI,SAN GIULIANO TERME
BELLE DONNE ,3 - B,TUTTI,PISA
BELLE TORRI ,16 - A,TUTTI,PISA
BELLI ,39 - B,TUTTI,SAN GIULIANO TERME
BELLI GIUSEPPE GIOACCHINO ,24 - A,TUTTI,PISA
BELLINI ,43 - A,TUTTI,SAN GIULIANO TERME
BELLINI VINCENZO ,30 - B,TUTTI,PISA
BELLONI GIULIO ANDREA ,19 - B,TUTTI,PISA
BELLUGELLO ,40 - A,8; 11,SAN GIULIANO TERME
BELLUGELLO ,40 - B,DAL 1 AL 13,SAN GIULIANO TERME
BELVEDERE ,26 - B,TUTTI,PISA
BELVEDERE ,34 - B,SNC,VECCHIANO
BELVEDERE ,40 - B,TUTTI,SAN GIULIANO TERME
BELVEDERE ,47,20,PISA
BENEDETTI ,17 - B,TUTTI,SAN GIULIANO TERME
BENEDETTINI EUGENIO ,25 - A,TUTTI,PISA
BENVENUTI PIETRO CESARE ,41 - B,TUTTI,CALCI
BERCHET GIOVANNI ,17 - B,TUTTI,SAN GIULIANO TERME
BERCHET GIOVANNI ,48,40,SAN GIULIANO TERME
BERLINGUER ENRICO ,33 - A,TUTTI,VECCHIANO
BERLINGUER ENRICO ,36 - B,TUTTI,SAN GIULIANO TERME
BERNARDINI CORAGGIO ,42 - B,TUTTI,CALCI
BERNARDINI ORESTE ,18 - B,TUTTI,PISA
BERNINI GIAN LORENZO ,30 - A,TUTTI,PISA
BERRETTA GIUSEPPE ,36 - B,SNC,SAN GIULIANO TERME
BERRETTA RODOLFO ,9 - A,TUTTI,CASCINA
BERTANI AGOSTINO ,6 - A,TUTTI,PISA
BERTELLI CECCO ,33 - A,TUTTI,VECCHIANO
BERTINI DON GIUSEPPE ,24 - B,TUTTI,PISA
BERTINI DON GIUSEPPE ,38 - B,TUTTI,SAN GIULIANO TERME
BETTI ,38 - A,TUTTI,SAN GIULIANO TERME
BETTI ENRICO ,4 - A,TUTTI,PISA
BETTI MARCO ,27 - A,TUTTI,PISA
BETTINELLI ,38 - A,TUTTI,SAN GIULIANO TERME
BETULLE ,26 - A,TUTTI,PISA
BEZZECCA ,7 - A,TUTTI,PISA
BIAGI MARCO ,19 - B,TUTTI,PISA
BIANCHI ,2 - A,TUTTI,PISA
BIANCHI BANDINELLI RANUCCIO ,21 - B,TUTTI,PISA
BIANCHI LUIGI ,20 - A,TUTTI,PISA
BIANCHI LUIGI ,38 - A,TUTTI,SAN GIULIANO TERME
BIANCOSPINI ,25 - B,TUTTI,PISA
BIDUINO ,21 - A,TUTTI,PISA
BIGATTIERA LATO MARE ,26 - A,TUTTI,PISA
BIGATTIERA LATO MONTE ,25 - A,TUTTI,PISA
BISANTOLA ,41 - B,TUTTI,CALCI
BISCOTTINO ,5 - A,TUTTI,PISA
BISSOLATI LEONIDA ,19 - B,TUTTI,PISA
BIXIO NINO ,3 - A,TUTTI,PISA
BIXIO NINO ,36 - B,TUTTI,SAN GIULIANO TERME
BIZZARRI FRANCESCO ,11 - A,TUTTI,CASCINA
BOBOLI ,39 - B,TUTTI,SAN GIULIANO TERME
BOCCACCIO GIOVANNI ,15 - A,TUTTI,SAN GIULIANO TERME
BOCCALACCIO ,30 - B,TUTTI,PISA
BOCCALI ,33 - A,TUTTI,VECCHIANO
BOCCHERINI ,36 - A,TUTTI,SAN GIULIANO TERME
BOCCHERINI LUIGI ,30 - B,TUTTI,PISA
BOCCHETTE ,7 - A,TUTTI,PISA
BOCCIONI ,43 - B,TUTTI,SAN GIULIANO TERME
BOITO ARRIGO ,38 - A,TUTTI,SAN GIULIANO TERME
BOLOGNA ,20 - B,TUTTI,PISA
BONAINI FRANCESCO ,2 - A,TUTTI,PISA
BONANNO PISANO ,19 - A,TUTTI,PISA
BONANNO PISANO ,47,33,PISA
BONANNO PISANO ,47,83,PISA
BONANNO PISANO ,47,6,PISA
BONIFICA ,33 - A,TUTTI,VECCHIANO
BONOMO GIOVAN COSIMO ,36 - A,TUTTI,SAN GIULIANO TERME
BORELLI ,38 - A,TUTTI,SAN GIULIANO TERME
BORGHESE ,3 - B,TUTTI,PISA
BORGHETTO ,17 - A,TUTTI,PISA
BORGHETTO ,49,7,PISA
BORGHETTO ,49,81,PISA
BORGHETTO ,49,80,PISA
BORGO ,10 - A,TUTTI,CASCINA
BORGO STRETTO ,16 - B,TUTTI,PISA
BORGUNDIO ,3 - B,TUTTI,PISA
BORODIN ALESSANDRO ,30 - B,TUTTI,PISA
BORRANI ,31 - A,TUTTI,SAN GIULIANO TERME
BORRANI ODOARDO ,18 - A,TUTTI,PISA
BORROMEO ,36 - A,TUTTI,SAN GIULIANO TERME
BORROMINI FRANCESCO ,36 - B,TUTTI,SAN GIULIANO TERME
BORSELLINO PAOLO ,24 - B,TUTTI,PISA
BORSI GIOSUE' ,20 - A,TUTTI,PISA
BOSCHI DON GAETANO ,23 - A,TUTTI,PISA
BOSCO ,41 - B,TUTTI,CALCI
BOSSO EMILIA IN PALAZZI TRIVELLI ,7 - A,TUTTI,PISA
BOSSOLO ,26 - B,TUTTI,PISA
BOVIO ,37 - A,TUTTI,SAN GIULIANO TERME
BOVIO GIOVANNI ,2 - B,TUTTI,PISA
BOVIO GIOVANNI ,33 - B,TUTTI,VECCHIANO
BOVIO GIOVANNI ,37 - A,TUTTI,SAN GIULIANO TERME
BOZZA ,33 - A,TUTTI,VECCHIANO
BRACCI ,2 - A,TUTTI,PISA
BRACCI TORSI HARRY ,5 - B,TUTTI,PISA
BRACCINI ,2 - A,TUTTI,PISA
BRACCIOLO ,34 - B,TUTTI,VECCHIANO
BRAGAZZI AGOSTINO ,22 - A,TUTTI,PISA
BRAMANTE DONATO ,30 - A,TUTTI,PISA
BRECCIA ANNIBALE EVARISTO ,5 - A,TUTTI,PISA
BRECCIA ANNIBALE EVARISTO ,5 - B,TUTTI,PISA
BRENNERO ,20 - A,TUTTI,PISA
BRENTA ,22 - B,TUTTI,PISA
BRODOLINI ,33 - B,TUTTI,VECCHIANO
BRODOLINI GIACOMO ,19 - B,TUTTI,PISA
BRODOLINI GIACOMO ,38 - A,TUTTI,SAN GIULIANO TERME
BRODOLINI GIACOMO ,9 - B,TUTTI,CASCINA
BROGIOTTI OBERDAN ,41 - B,TUTTI,CALCI
BRUCETO ,35 - A,TUTTI,VECCHIANO
BRUGI BIAGIO ,5 - A,SNC,PISA
BRUNELLESCHI ,35 - A,TUTTI,VECCHIANO
BRUNELLESCHI FILIPPO ,30 - A,TUTTI,PISA
BRUNELLESCHI FILIPPO ,31 - B,TUTTI,SAN GIULIANO TERME
BRUNO GIORDANO ,2 - B,TUTTI,PISA
BRUNO GIORDANO ,31 - B,TUTTI,SAN GIULIANO TERME
BUFFALMACCO ,30 - A,TUTTI,PISA
BUGNINO ,41 - B,TUTTI,CALCI
BULGARINO DA CAPRONA ,21 - B,TUTTI,PISA
BUONAMICI ,30 - B,TUTTI,PISA
BUONAMICI FRANCESCO ,23 - B,TUTTI,PISA
BUONARROTI FILIPPO ,18 - B,TUTTI,PISA
BUONARROTI MICHELANGELO ,31 - A,TUTTI,SAN GIULIANO TERME
BUONGUSTO ,23 - B,TUTTI,PISA
BUOZZI ,42 - A,1,CALCI
BUOZZI ,42 - A,DAL 2 AL 4,CALCI
BUOZZI ,42 - B,DAL 3 AL 5,CALCI
BUOZZI BRUNO ,36 - A,TUTTI,SAN GIULIANO TERME
BUOZZI BRUNO ,4 - B,TUTTI,PISA
BUOZZI BRUNO ,42 - A,DAL 1 AL 9 DAL 2 AL 22,CALCI
BUOZZI BRUNO ,42 - B,DAL 11 AL 83 DAL 20 AL 126,CALCI
BUOZZI BRUNO ,9 - B,TUTTI,CASCINA
BUSCHETTO ,16 - A,TUTTI,PISA
BUSONI FERRUCCIO ,36 - A,TUTTI,SAN GIULIANO TERME
BUTESE ,41 - B,TUTTI,CALCI
BYRON GEORGE GORDON ,15 - B,DAL 10 AL 26,PISA
CABOTO ,43 - A,TUTTI,SAN GIULIANO TERME
CABOTO GIOVANNI ,28 - B,TUTTI,PISA
CADUTI DEL LAVORO ,21 - B,TUTTI,PISA
CADUTI DELLA LIBERTA' ,33 - B,TUTTI,VECCHIANO
CADUTI DI EL ALAMEIN ,13 - A,TUTTI,PISA
CADUTI DI KINDU ,1 - B,TUTTI,PISA
CADUTI DI SARAJEVO ,1 - B,TUTTI,PISA
CADUTI LAGER NAZISTI ,9 - A,SNC,CASCINA
CAFAGGIO ,19 - B,TUTTI,PISA
CAFAGGIO ,24 - B,TUTTI,SAN GIULIANO TERME
CAFAGGIO ,34 - A,TUTTI,VECCHIANO
CAFIERO CARLO ,21 - B,TUTTI,PISA
CAGLIARI ,20 - B,TUTTI,PISA
CAGLIARITANA ,27 - A,TUTTI,PISA
CAGNOLA ,41 - A,TUTTI,CALCI
CAIROLI ,16 - A,TUTTI,PISA
CAIROLI ,41 - A,TUTTI,CALCI
CALABRESI ENRICA ,5 - A,TUTTI,PISA
CALABRIA ,13 - B,TUTTI,PISA
CALAFATI ,16 - B,TUTTI,PISA
CALAMANDREI PIERO ,10 - A,TUTTI,CASCINA
CALATAFIMI ,7 - B,TUTTI,PISA
CALCESANA ,17 - B,DAL 1 AL 89 DAL 2 AL 138,SAN GIULIANO TERME
CALCESANA ,41 - A,25/A,CALCI
CALCESANA ,41 - A,DAL 530 AL 534,SAN GIULIANO TERME
CALCESANA ,42 - A,DAL 11 AL 149 DAL 2 AL 128,CALCI
CALCESANA ,43 - A,DAL 91 AL 405 DAL 140 AL 472/A,SAN GIULIANO TERME
CALCESANA ,43 - B,DAL 409 AL 503 DAL 432 AL 528,SAN GIULIANO TERME
CALCESANA ,50,315,SAN GIULIANO TERME
CALCESANA ,50,158,SAN GIULIANO TERME
CALCINAIA ,38 - A,TUTTI,SAN GIULIANO TERME
CALIGI ,25 - A,TUTTI,PISA
CALVINO ITALO ,33 - A,TUTTI,VECCHIANO
CALZEZANE ,42 - B,TUTTI,CALCI
CAMBI ,6 - A,TUTTI,PISA
CAMMEO CARLO ,11 - A,DAL 101 AL 251 DAL 98 AL 314,CASCINA
CAMMEO CARLO ,41 - B,TUTTI,CALCI
