via,zona,numeri,citta
GENOVA ,21 - A,TUTTI,PISA
GENTILESCHI ORAZIO ,21 - A,TUTTI,PISA
GENTILESCHI ORAZIO E ARTEMISIA ,31 - B,TUTTI,SAN GIULIANO TERME
GENTILI ALFREDO ,6 - B,TUTTI,PISA
GENZIANE ,43 - B,TUTTI,SAN GIULIANO TERME
GERACE GIOVANNI BATTISTA ,14 - A,TUTTI,PISA
GERACE GIOVANNI BATTISTA ,49,Jul-15,PISA
GERANI ,39 - A,TUTTI,SAN GIULIANO TERME
GERESCHI LIVIA ,18 - B,TUTTI,PISA
GERESCHI LIVIA ,39 - B,TUTTI,SAN GIULIANO TERME
GHERARDESCA ALESSANDRO ,43 - B,TUTTI,SAN GIULIANO TERME
GHERARDESCA ALESSANDRO ,5 - B,TUTTI,PISA
GHIBERTI ,39 - B,SNC,SAN GIULIANO TERME
GHINI LUCA ,19 - A,TUTTI,PISA
GHISLERI ARCANGELO ,6 - A,TUTTI,PISA
GIACINTI ,25 - B,TUTTI,PISA
GIACOSA ,17 - B,TUTTI,SAN GIULIANO TERME
GIAMBENE RENATA ,31 - A,TUTTI,SAN GIULIANO TERME
GIANI CECCHINI FAUSTA ,14 - A,TUTTI,PISA
GIANNESSI EGIDIO ,5 - A,SNC,PISA
GIANNONE ,40 - A,11,SAN GIULIANO TERME
GIANNONE ,40 - A,DAL 8 AL 28/A,SAN GIULIANO TERME
GIANNONE ,40 - B,DAL 1 AL 7 DAL 2 AL 6,SAN GIULIANO TERME
GIARDINO ,18 - B,TUTTI,PISA
GIARDINO ,34 - B,TUTTI,VECCHIANO
GIGLI ,39 - A,TUTTI,SAN GIULIANO TERME
GIGLIOLI ITALO ,21 - B,TUTTI,PISA
GINEPRI ,26 - B,TUTTI,PISA
GINESTRE ,26 - B,TUTTI,PISA
GIOBERTI ,24 - B,TUTTI,SAN GIULIANO TERME
GIOBERTI VINCENZO ,17 - A,TUTTI,PISA
GIOLI FRANCESCO ,36 - A,TUTTI,SAN GIULIANO TERME
GIORDANI PIETRO ,24 - A,TUTTI,PISA
GIORDANI PIETRO ,39 - A,TUTTI,SAN GIULIANO TERME
GIORDANO ANDREA ,31 - B,TUTTI,SAN GIULIANO TERME
GIORDANO DA RIVALTO ,23 - B,TUTTI,PISA
GIORGI ,24 - B,TUTTI,SAN GIULIANO TERME
GIOTTO ,30 - A,TUTTI,PISA
GIOTTO ,40 - B,TUTTI,SAN GIULIANO TERME
GIOVANNI XXIII ,11 - B,TUTTI,CASCINA
GIOVANNI XXIII ,37 - A,TUTTI,SAN GIULIANO TERME
GIOVANNINI FERRUCCIO ,13 - A,TUTTI,PISA
GIOVANNINI FERRUCCIO ,48,TUTTI,SAN GIULIANO TERME
GIRASOLI ,26 - B,TUTTI,PISA
GIRASOLI ,39 - A,TUTTI,SAN GIULIANO TERME
GIULIETTI GIUSEPPE MARIA ,43 - A,TUTTI,SAN GIULIANO TERME
GIUNCHETA ,25 - A,TUTTI,PISA
GIUNCHIGLIE ,25 - A,TUTTI,PISA
GIUNTINI MARIO ,12 - B,TUTTI,CASCINA
GIUNTINI MARIO ,46, ACORN 192,CASCINA
GIUNTINI MARIO ,46,204,CASCINA
GIUSTI ,35 - B,TUTTI,VECCHIANO
GIUSTI GIUSEPPE ,1 - B,TUTTI,PISA
GIUSTI GIUSEPPE ,17 - B,TUTTI,SAN GIULIANO TERME
GIUSTI GIUSEPPE ,18 - B,TUTTI,PISA
GIUSTI RENZO ,12 - B,TUTTI,CASCINA
GIUSTI TRA LE NAZIONI ,18 - A,TUTTI,PISA
GLADIOLI ,26 - B,TUTTI,PISA
GLICINI ,26 - B,TUTTI,PISA
GNOCCHI VIANI OSVALDO ,21 - B,TUTTI,PISA
GOBETTI PIERO ,21 - A,TUTTI,PISA
GOBETTI PIERO ,31 - A,TUTTI,SAN GIULIANO TERME
GOBETTI PIERO ,9 - B,TUTTI,CASCINA
GOLDONI CARLO ,15 - B,TUTTI,PISA
GOLDONI CARLO ,17 - B,TUTTI,SAN GIULIANO TERME
GOLENA ,34 - A,TUTTI,VECCHIANO
GOLENA ,36 - A,TUTTI,SAN GIULIANO TERME
GOLETTA ,1 - A,TUTTI,PISA
GONDOLE ,16 - A,TUTTI,PISA
GONFO ,8 - A,TUTTI,PISA
GORGONA ,27 - A,TUTTI,PISA
GORGONA ,9 - B,TUTTI,CASCINA
GORI PIETRO ,11 - B,TUTTI,CASCINA
GORI PIETRO ,2 - B,TUTTI,PISA
GOYA FRANCISCO ,17 - B,TUTTI,SAN GIULIANO TERME
GOZZANO GUIDO ,39 - B,TUTTI,SAN GIULIANO TERME
GOZZI CARLO ,40 - A,TUTTI,SAN GIULIANO TERME
GOZZINI ADRIANO ,5 - B,TUTTI,PISA
GOZZOLI BENOZZO ,17 - B,TUTTI,SAN GIULIANO TERME
GOZZOLI BENOZZO ,7 - A,TUTTI,PISA
GRADINI ,42 - A,TUTTI,SAN GIULIANO TERME
GRAF ARTURO ,40 - B,TUTTI,SAN GIULIANO TERME
GRAMSCI ,2 - A,TUTTI,PISA
GRAMSCI ,39 - B,TUTTI,SAN GIULIANO TERME
GRAMSCI ANTONIO ,11 - B,DAL 8 AL 16,CASCINA
GRAMSCI ANTONIO ,12 - B,DAL 15 AL 51 DAL 2 AL 106,CASCINA
GRAMSCI ANTONIO ,2 - A,TUTTI,PISA
GRAMSCI ANTONIO ,32 - A,TUTTI,VECCHIANO
GRAMSCI ANTONIO ,46,8,CASCINA
GRAMSCI ANTONIO ,49,8,PISA
GRAMUSTELLO ,8 - B,TUTTI,PISA
GRANDI ACHILLE ,21 - B,TUTTI,PISA
GRANDI ACHILLE ,43 - A,TUTTI,SAN GIULIANO TERME
GRANDI ACHILLE ,9 - B,TUTTI,CASCINA
GRANUCCI GIOVANNI ,42 - A,TUTTI,CALCI
GRANUCCIO ,5 - A,TUTTI,PISA
GRASSI RANIERI ,14 - A,TUTTI,PISA
GRASSINI DANTE ,22 - A,TUTTI,PISA
GRIECO RUGGERO ,37 - B,TUTTI,SAN GIULIANO TERME
GRIFFI COCCO ,21 - A,TUTTI,PISA
GRILLETTI ,3 - B,TUTTI,PISA
GRONCHI GIOVANNI ,5 - B,SNC,PISA
GROTTA ,38 - B,SNC,SAN GIULIANO TERME
GUADAGNOLI ANTONIO ,4 - B,TUTTI,PISA
GUADALONGO ,8 - A,TUTTI,PISA
GUALDUCCIO ,27 - B,TUTTI,PISA
GUARDISTALLO ,22 - A,TUTTI,PISA
GUARIGANGHI ,25 - A,TUTTI,PISA
GUELFI GIULIO ,11 - B,DAL 1 AL 149/I DAL 2 AL 128,CASCINA
GUELFI GIULIO ,46,87,CASCINA
GUELFI GIULIO ,9 - B,DAL 151 AL 153 130,CASCINA
GUERRAZZI ,31 - A,TUTTI,SAN GIULIANO TERME
GUERRAZZI FRANCESCO DOMENICO ,2 - A,TUTTI,PISA
GUERRAZZI FRANCESCO DOMENICO ,49,17,PISA
GUGLIELMINETTI AMALIA ,43 - B,TUTTI,SAN GIULIANO TERME
GUIDI CAMILLO ,27 - A,TUTTI,PISA
GUIDICCIONI ,15 - A,TUTTI,SAN GIULIANO TERME
GUINIZZELLI ,15 - A,DAL 2 AL 8,SAN GIULIANO TERME
GUINIZZELLI ,17 - B,DAL 25 AL 27 DAL 24 AL 30,SAN GIULIANO TERME
GUSCELLA ,25 - A,TUTTI,PISA
GUSCELLINA ,5 - A,TUTTI,PISA
GUSMARI LOTARIO ,27 - A,DAL 5 AL 29 DAL 8 AL 68,PISA
GUSMARI LOTARIO ,27 - B,1;2;3,PISA
GUTTUSO RENATO ,32 - A,TUTTI,VECCHIANO
HARING KEITH ,3 - B,TUTTI,PISA
HERMADA ,18 - A,TUTTI,PISA
HO CHI MIN ,36 - B,TUTTI,SAN GIULIANO TERME
IDROVORA ,25 - A,1,PISA
IDROVORA ,5 - A,2,PISA
IMMAGINETTA ,6 - B,TUTTI,PISA
IMPASTATO GIUSEPPE ,19 - B,TUTTI,PISA
IMPASTATO GIUSEPPE ,31 - B,SNC,SAN GIULIANO TERME
IMPASTATO GIUSEPPE ,47,1,PISA
IMPASTATO PEPPINO ,42 - A,TUTTI,CALCI
INDIPENDENZA ,35 - B,TUTTI,VECCHIANO
INDUNO ,40 - B,TUTTI,SAN GIULIANO TERME
INGHIRAMI JACOPO ,27 - A,DAL 3 AL 27 DAL 10 AL 26,PISA
INGHIRAMI JACOPO ,27 - B, 1; 1/A,PISA
INSETATA ,41 - B,TUTTI,CALCI
IOTTI NILDE ,43 - B,TUTTI,SAN GIULIANO TERME
IPPICA ,30 - B,SNC,PISA
ISABELLA ,32 - B,TUTTI,VECCHIANO
ISOLA ,5 - A,TUTTI,PISA
ISOLA BELLA ,29 - B,TUTTI,PISA
ISOLA DEL GIGLIO ,29 - B,TUTTI,PISA
ISOLA DI CAPRAIA ,29 - B,TUTTI,PISA
ISOLA DI GIANNUTRI ,29 - B,TUTTI,PISA
ISOLA DI MONTECRISTO ,28 - A,TUTTI,PISA
ISOLA DI PALMARIA ,28 - A,TUTTI,PISA
ISOLA DI PANTELLERIA ,29 - B,TUTTI,PISA
ISOLA DI PONZA ,28 - A,TUTTI,PISA
ISOLA DI PROCIDA ,29 - B,TUTTI,PISA
ISOLA DI STROMBOLI ,28 - A,TUTTI,PISA
ISOLA DI VULCANO ,29 - B,TUTTI,PISA
ISOLA D'ISCHIA ,29 - B,TUTTI,PISA
ISOLE EGADI ,28 - A,TUTTI,PISA
ISOLE LIPARI ,21 - A,TUTTI,PISA
ISONZO ,22 - B,TUTTI,PISA
ISTRIA ,20 - A,TUTTI,PISA
ITALIA ,3 - B,TUTTI,PISA
ITALIA ,39 - B,TUTTI,SAN GIULIANO TERME
IVIZZA ,27 - B,TUTTI,PISA
KING MARTIN LUTHER ,11 - B,TUTTI,CASCINA
KING MARTIN LUTHER ,20 - B,TUTTI,PISA
KING MARTIN LUTHER ,39 - B,TUTTI,SAN GIULIANO TERME
KING MARTIN LUTHER ,50,146,SAN GIULIANO TERME
KINZICA DEI SISMONDI ,2 - B,TUTTI,PISA
LA MADDALENA ,3 - B,TUTTI,PISA
LA MALFA UGO ,34 - A,TUTTI,VECCHIANO
LA NUNZIATINA ,3 - B,TUTTI,PISA
LA PERGOLA ,23 - B,TUTTI,PISA
LA PIRA GIORGIO ,9 - A,TUTTI,CASCINA
LA PIRA GIORGIO ,9 - A,SNC,CASCINA
LA TINTA ,2 - B,TUTTI,PISA
LA TORRE PIO ,36 - B,TUTTI,SAN GIULIANO TERME
LABRIOLA ANTONIO ,43 - A,TUTTI,SAN GIULIANO TERME
LAIANO ,11 - B,TUTTI,CASCINA
LAIANO DI SOPRA ,11 - A,TUTTI,CASCINA
LAIANO DI SOTTO ,11 - A,TUTTI,CASCINA
LALLI MARIO ,18 - B,TUTTI,PISA
LANDI PASQUALE ,4 - A,TUTTI,PISA
LANFRANCHI ,2 - B,TUTTI,PISA
LANFREDUCCI FRANCESCO ,27 - A,TUTTI,PISA
LASINIO CARLO ,19 - B,TUTTI,PISA
LATO ,41 - B,SNC,CALCI
LAVAGGI FRANCESCO ,7 - A,TUTTI,PISA
LAVAGNA GIOVANNI MARIA ,3 - A,TUTTI,PISA
LAVANDAIE ,40 - B,TUTTI,SAN GIULIANO TERME
LAVATOIO ,4 - B,TUTTI,PISA
LAVORIA ,5 - A,TUTTI,PISA
LAZIO ,13 - B,TUTTI,PISA
LAZZARINO LUCIO ,47,TUTTI,PISA
LAZZERI ,43 - A,TUTTI,SAN GIULIANO TERME
LAZZERI INNOCENZO ,5 - B,TUTTI,PISA
LE CROCIATE ,30 - B,TUTTI,PISA
LE VALLI ,41 - B,SNC,CALCI
LECCI ,26 - A,TUTTI,PISA
LECCI MARIO ,41 - B,TUTTI,CALCI
LECCIO ,38 - B,TUTTI,SAN GIULIANO TERME
LEGA ,37 - B,TUTTI,SAN GIULIANO TERME
LENIN ,24 - A,DAL 117 AL  185 DAL 108 AL 252,SAN GIULIANO TERME
LENIN ,37 - A,DAL 57 AL 115 DAL 40 AL 106/E,SAN GIULIANO TERME
LENIN ,37 - B,DAL 1 AL 65 DAL 2 AL 36,SAN GIULIANO TERME
LENIN ,50,38,SAN GIULIANO TERME
LENZE ,30 - B,TUTTI,PISA
LEONCAVALLO ,43 - A,TUTTI,SAN GIULIANO TERME
LEONE XIII ,7 - B,TUTTI,PISA
LEONI ,36 - A,TUTTI,SAN GIULIANO TERME
LEOPARDI GIACOMO ,15 - A,TUTTI,SAN GIULIANO TERME
LEOPARDI GIACOMO ,23 - A,TUTTI,PISA
LEOPARDI GIACOMO ,33 - B,TUTTI,VECCHIANO
LEOPARDI GIACOMO ,41 - A,TUTTI,CALCI
LEVI PRIMO ,33 - A,TUTTI,VECCHIANO
LEVI PRIMO ,33 - A,TUTTI,VECCHIANO
LIBERAZIONE ,40 - B,TUTTI,SAN GIULIANO TERME
LIBERTA' ,11 - A,TUTTI,CASCINA
LIBERTA' ,32 - A,TUTTI,VECCHIANO
LIBERTA' ,35 - B,TUTTI,VECCHIANO
LIBERTA' ,40 - A,TUTTI,SAN GIULIANO TERME
LIDICE ,39 - B,TUTTI,SAN GIULIANO TERME
LIGURIA ,4 - B,TUTTI,PISA
LIGUSTRI ,25 - A,TUTTI,PISA
LITORANEA ,26 - A,DAL 5 AL 15 DAL 8 AL 64,PISA
LITORANEA ,27 - A,1;2,PISA
LIVENZA ,22 - B,TUTTI,PISA
LIVORNESE ,25 - A,DAL 1285 AL 1313 DAL 768 AL 796,PISA
LIVORNESE ,28 - A,DAL 701 AL 1283 DAL 500 AL 762,PISA
LIVORNESE ,29 - A,DAL 8 AL 76,PISA
LIVORNESE ,29 - B,DAL 1 AL 697/A DAL 84 AL 498,PISA
LIVORNESE ,47,621,PISA
LIVORNESE ,47,897,PISA
LOCATELLI ANTONIO ,20 - A,TUTTI,PISA
LOCCHI VITTORIO ,19 - A,5,PISA
LOMBARDI ,32 - A,TUTTI,VECCHIANO
LOMBARDI GINO ,22 - A,TUTTI,PISA
LOMBARDIA ,13 - B,TUTTI,PISA
LOMI AURELIO ,30 - A,TUTTI,PISA
LORENZINI ORLANDO GENERALE ,24 - B,TUTTI,PISA
LORENZO IL MAGNIFICO ,17 - B,TUTTI,SAN GIULIANO TERME
LORI GUGLIELMO AMEDEO ,27 - B,TUTTI,PISA
LUCANIA ,13 - B,TUTTI,PISA
LUCCHESE ,20 - A,DAL 1 AL 67 DAL 2 AL 62/C,PISA
LUCCHESE ,20 - B,DAL 69 AL 93 DAL 2 AL 48,PISA
LUCCHESE ,37 - B,TUTTI,SAN GIULIANO TERME
LUCCHESI ,38 - A,TUTTI,SAN GIULIANO TERME
LUNGOMONTE PISANO ,42 - A,TUTTI,CALCI
LUSCHI SILVIO ,4 - B,TUTTI,PISA
LUSSU EMILIO ,32 - A,TUTTI,VECCHIANO
LUTERO MARTIN ,13 - A,SNC,PISA
LUXEMBOURG ROSA ,38 - A,TUTTI,SAN GIULIANO TERME
LUZZATTO GINO ,14 - A,TUTTI,PISA
MACCATELLA ,13 - B,TUTTI,PISA
MACCATELLA ,49,6,PISA
MACHIAVELLI ,17 - B,TUTTI,SAN GIULIANO TERME
MADONNONI ,42 - B,TUTTI,CALCI
MAESTRI DEL LAVORO ,21 - B,TUTTI,PISA
MAFFI PIETRO CARDINALE ,23 - A,TUTTI,PISA
MAGAGNA ,34 - B,TUTTI,VECCHIANO
MAGELLANO FERDINANDO ,28 - B,TUTTI,PISA
MAGENTA ,19 - A,TUTTI,PISA
MAGENTA ,37 - A,TUTTI,SAN GIULIANO TERME
MAGGIOLA ,39 - A,TUTTI,SAN GIULIANO TERME
MAGGIORE DI ORATOIO ,5 - B,DAL 76 AL 102,PISA
MAGGIORE DI ORATOIO ,8 - B,DAL 1 AL 135 DAL 2 AL 74/A,PISA
MAGNANI ANNA ,32 - B,TUTTI,VECCHIANO
MAGNOLIE ,25 - B,TUTTI,PISA
MAGNOLIE ,38 - B,TUTTI,SAN GIULIANO TERME
MAIOLICHE ,18 - B,TUTTI,PISA
MAIORCA ,27 - B,TUTTI,PISA
MAIORCA ,47,81/A,PISA
MALAGOLI GIUSEPPE ,14 - B,TUTTI,PISA
MALASOMA GAETANO ,8 - B,TUTTI,PISA
MALATESTA ENRICO ,7 - A,TUTTI,PISA
MALPIGHI MARCELLO ,5 - B,TUTTI,PISA
MAMELI ,37 - A,TUTTI,SAN GIULIANO TERME
MAMELI GOFFREDO ,6 - A,TUTTI,PISA
MANCINI AUGUSTO ,17 - A,TUTTI,PISA
MANDER DON CALLISTO ,27 - B,TUTTI,PISA
MANDORLI ,26 - A,TUTTI,PISA
MANIN DANIELE ,22 - B,TUTTI,PISA
MANIN DANIELE ,34 - B,TUTTI,VECCHIANO
MANNOCCI ADOLFO ,12 - A,TUTTI,CASCINA
MANTEGNA ,39 - B,TUTTI,SAN GIULIANO TERME
MANTEGNA ANDREA ,30 - A,TUTTI,PISA
MANZONI ,33 - B,TUTTI,VECCHIANO
MANZONI ALESSANDRO ,17 - B,TUTTI,SAN GIULIANO TERME
MANZONI ALESSANDRO ,3 - B,TUTTI,PISA
MARAGONE BERNARDO ,29 - A,TUTTI,PISA
MARANGONI MATTEO ,24 - B,TUTTI,PISA
MARCHE ,20 - A,TUTTI,PISA
MARCHESI CONCETTO ,35 - A,TUTTI,VECCHIANO
MARCONI GUGLIELMO ,1 - B,TUTTI,PISA
MARCONI GUGLIELMO ,35 - A,TUTTI,VECCHIANO
MARCONI GUGLIELMO ,42 - A,TUTTI,CALCI
MARCONI GUGLIELMO ,43 - B,TUTTI,SAN GIULIANO TERME
MARE ,32 - B,TUTTI,VECCHIANO
MARGHERITE ,25 - B,TUTTI,PISA
MARGHERITE ,39 - A,TUTTI,SAN GIULIANO TERME
MARGHESI CONCETTO ,14 - A,TUTTI,PISA
MARINAI D'ITALIA ,29 - A,SNC,PISA
MARINO GIAMBATTISTA ,15 - B,TUTTI,PISA
MARIO ALBERTO ,3 - B,TUTTI,PISA
MARISCOGLIO ,13 - B,TUTTI,PISA
MARMICCIOLO ,5 - B,TUTTI,PISA
MARMICETO ,5 - B,TUTTI,PISA
MARMIGLIAIO ,22 - B,TUTTI,PISA
MARMO ,31 - B,TUTTI,SAN GIULIANO TERME
MARSALA ,7 - A,TUTTI,PISA
MARTELLO ,1 - A,TUTTI,PISA
MARTINI SIMONE ,21 - A,TUTTI,PISA
MARTIRI ,23 - A,TUTTI,PISA
MARTIRI DELLA LIBERTA' ,18 - B,TUTTI,PISA
MARTIRI DELLA LIBERTA' ,44,33,PISA
MARTIRI DELLA ROMAGNA ,38 - B,TUTTI,SAN GIULIANO TERME
MARTIRI DELLE ARDEATINE ,22 - A,TUTTI,PISA
MARTIRI DI MARZABOTTO ,35 - B,TUTTI,VECCHIANO
MARTIRI DI NASSIRIYA ,9 - A,TUTTI,CASCINA
MARTRAVERSO ,22 - A,TUTTI,SAN GIULIANO TERME
MARX CARLO ,38 - A,TUTTI,SAN GIULIANO TERME
MARZABOTTO ,22 - A,TUTTI,PISA
MARZAIOLO ,32 - A,TUTTI,VECCHIANO
MASACCIO ,39 - B,TUTTI,SAN GIULIANO TERME
MASACCIO ,4 - B,TUTTI,PISA
MASCA ENRICO ,27 - A,TUTTI,PISA
MASCAGNI ,34 - A,TUTTI,VECCHIANO
MASCAGNI PIETRO ,3 - A,TUTTI,PISA
MASCAGNI PIETRO ,43 - A,TUTTI,SAN GIULIANO TERME
MASSARENTI GIUSEPPE ,19 - B,TUTTI,PISA
MASSEI COSTANTINO NELLO ,5 - B,TUTTI,PISA
MATTARELLA PIERSANTI ,36 - B,TUTTI,SAN GIULIANO TERME
MATTEOTTI ,32 - B,TUTTI,VECCHIANO
MATTEOTTI GIACOMO ,39 - A,DAL 65/A AL 105 DAL 86 AL 140,SAN GIULIANO TERME
MATTEOTTI GIACOMO ,39 - B,DAL 3/B AL 63 DAL 4 AL 84,SAN GIULIANO TERME
MATTEOTTI GIACOMO ,4 - B,TUTTI,PISA
MATTEUCCI CARLO ,14 - A,DAL 36 AL 38/G,PISA
MATTEUCCI CARLO ,14 - B,DAL 1 AL 93 DAL 2 AL 54,PISA
MAZZEI FILIPPO ,13 - A,TUTTI,PISA
MAZZINI ,37 - A,TUTTI,SAN GIULIANO TERME
MAZZINI GIUSEPPE  ,16 - A,TUTTI,PISA
MAZZINI GIUSEPPE Piazza,3 - B,TUTTI,PISA
MAZZINI GIUSEPPE ,32 - B,TUTTI,VECCHIANO
MAZZINI GIUSEPPE ,33 - B,TUTTI,VECCHIANO
MAZZINI GIUSEPPE ,36 - A,TUTTI,SAN GIULIANO TERME
MAZZINI GIUSEPPE ,37 - A,TUTTI,SAN GIULIANO TERME
MAZZINI GIUSEPPE ,50,12,VECCHIANO
MAZZOLARI DON PRIMO ,15 - B,SNC,PISA
MAZZONI GIUSEPPE ,6 - A,TUTTI,PISA
MECENI ,40 - A,TUTTI,SAN GIULIANO TERME
MECHERINI ,3 - B,TUTTI,PISA
MEDAGLIE D'ORO ,18 - A,TUTTI,PISA
MEDICEO ,16 - A,TUTTI,PISA
MELANO ,41 - B,TUTTI,CALCI
MELI ,40 - B,TUTTI,SAN GIULIANO TERME
MENEGHINI GIUSEPPE ,14 - B,TUTTI,PISA
MENICHINI ARDUINO ,42 - A,TUTTI,CALCI
MENOTTI CIRO ,16 - B,TUTTI,PISA
MENTANA ,7 - B,TUTTI,PISA
MERCANTI ,16 - B,TUTTI,PISA
MERCATO ,34 - A,TUTTI,VECCHIANO
MERLO CLEMENTE ,14 - A,TUTTI,PISA
METASTASIO PIETRO ,15 - A,TUTTI,SAN GIULIANO TERME
MEUCCI ,43 - B,TUTTI,SAN GIULIANO TERME
MEUCCI ANTONIO ,46,36,PISA
MEUCCI ANTONIO ,5 - B,DAL 20 AL 26,PISA
MEUCCI ANTONIO ,8 - B,DAL 1 AL 15 DAL 2 AL 18,PISA
MEZZANA ,13 - A,TUTTI,PISA
MEZZANINA ,25 - A,TUTTI,PISA
MEZZAPIAGGIA ,25 - A,SNC,PISA
MEZZO ,6 - A,TUTTI,PISA
MEZZO NORD ,11 - A,DAL 223 AL 661 DAL 172 AL 384,CASCINA
MEZZO SUD ,10 - A,136;223,CASCINA
MEZZO SUD ,12 - B,DAL 59 AL 131 DAL 88 AL 138,CASCINA
MICHELANGELO ,30 - A,TUTTI,PISA
MICHELANGELO ,47,5,PISA
MIGLIOLI GUIDO ,19 - B,TUTTI,PISA
MILANI DON LORENZO ,7 - B,TUTTI,PISA
MILANO ,20 - B,TUTTI,PISA
MILAZZO ,27 - A,DAL 101 AL 181 DAL 48 AL 118,PISA
MILAZZO ,27 - B,DAL 1 AL 99 DAL 2 AL 46,PISA
MILLE ,12 - B,TUTTI,CASCINA
MILLE ,23 - A,TUTTI,PISA
MILLE ,34 - B,TUTTI,VECCHIANO
MIMOSE ,25 - B,TUTTI,PISA
MIMOSE ,42 - A,TUTTI,CALCI
MINORCA ,27 - B,TUTTI,PISA
MINORE ,29 - B,TUTTI,PISA
MINZONI DON GIOVANNI ,2 - A,TUTTI,PISA
MINZONI DON GIOVANNI ,40 - B,TUTTI,SAN GIULIANO TERME
MODIGLIANI ,38 - A,TUTTI,SAN GIULIANO TERME
MODIGLIANI AMEDEO ,11 - A,TUTTI,CASCINA
MOGGI SIRIO ,12 - B,TUTTI,CASCINA
MOLINETTO ,42 - B,TUTTI,CALCI
MOLINGRANDE ,41 - A,TUTTI,CALCI
MOLINI ,34 - A,TUTTI,VECCHIANO
MOLINI ,38 - B,TUTTI,SAN GIULIANO TERME
MOLINO ,10 - B,TUTTI,CASCINA
MOLINO ,37 - B,TUTTI,SAN GIULIANO TERME
MOLINO ,40 - B,TUTTI,SAN GIULIANO TERME
MOLINO DI CIAPETTO ,41 - B,TUTTI,CALCI
MOLISE ,20 - A,TUTTI,PISA
MOMIGLIANO ATTILIO ,15 - B,TUTTI,PISA
MONGINEVRO ,8 - A,SNC,PISA
MONTALE EUGENIO ,15 - A,TUTTI,SAN GIULIANO TERME
MONTALE EUGENIO ,34 - B,TUTTI,VECCHIANO
MONTANELLI GIUSEPPE ,1 - A,DAL 1 AL 19 DAL 2 AL 44,PISA
MONTANELLI GIUSEPPE ,1 - B,DAL 25 AL 97 DAL 46 AL 126,PISA
MONTANELLI GIUSEPPE ,6 - A,DAL 101 AL 167 DAL 130 AL 256,PISA
MONTE ,16 - B,TUTTI,PISA
MONTE BIANCO ,45,4,PISA
MONTE BIANCO ,8 - A,TUTTI,PISA
MONTE GRAPPA ,21 - A,TUTTI,PISA
MONTE ORTIGARA ,18 - A,TUTTI,PISA
MONTE ROSA ,8 - A,TUTTI,PISA
MONTE SERRA ,41 - B,TUTTI,CALCI
MONTELLO ,18 - A,TUTTI,PISA
MONTELUNGO ,19 - B,TUTTI,PISA
MONTEROTONDO ,7 - B,TUTTI,PISA
MONTESSORI ,38 - A,TUTTI,SAN GIULIANO TERME
MONTEVERDI ,42 - A,TUTTI,CALCI
MONTEVERDI ,43 - A,TUTTI,SAN GIULIANO TERME
MONTI VINCENZO ,24 - A,TUTTI,PISA
MONTI VINCENZO ,33 - B,TUTTI,VECCHIANO
MONTICELLO ,35 - A,TUTTI,VECCHIANO
MONTICELLO ,38 - B,SNC,SAN GIULIANO TERME
MONTIONI ,32 - B,SNC,VECCHIANO
MORANDI CARLO ,14 - A,TUTTI,PISA
MORANTE ,40 - B,TUTTI,SAN GIULIANO TERME
MORELLI ,37 - B,TUTTI,SAN GIULIANO TERME
MORICONI PIETRO ,27 - B,TUTTI,PISA
MORIGLIONE ,32 - A,TUTTI,VECCHIANO
MORO ,48,TUTTI,PISA
MORTELLE ,26 - B,TUTTI,PISA
MORUZZI GIUSEPPE ,48,TUTTI,PISA
MOSSA LORENZO ,15 - B,TUTTI,PISA
MOSSOTTI OTTAVIANO ,2 - B,TUTTI,PISA
MOZART AMADEUS ,43 - A,TUTTI,SAN GIULIANO TERME
MOZZO ,2 - B,TUTTI,PISA
MOZZONI ANNA MARIA ,39 - A,TUTTI,SAN GIULIANO TERME
MUGHETTI ,26 - A,TUTTI,PISA
MULINACCIO ,5 - A,TUTTI,PISA
MURA DEI FRATI ,42 - B,TUTTI,CALCI
MURACCIA ,35 - A,TUTTI,VECCHIANO
MURATORI LUDOVICO ANTONIO ,22 - A,TUTTI,SAN GIULIANO TERME
MURELLA ,31 - A,DAL 1 AL 85 DAL 2 AL 13,SAN GIULIANO TERME
MURELLA ,36 - B,87; 87/A 152; 154,SAN GIULIANO TERME
MURRI DON RENZO ,31 - A,TUTTI,SAN GIULIANO TERME
MUSIGLIANO ,10 - B,TUTTI,CASCINA
MUSIGLIANO ,46,88,CASCINA
NANO ,42 - B,TUTTI,CALCI
NAPOLEONE ,43 - B,TUTTI,SAN GIULIANO TERME
NAPOLI ,20 - B,TUTTI,PISA
NAPOLI ,42 - B,TUTTI,CALCI
NARCISI ,26 - B,TUTTI,PISA
NATALI ,41 - B,TUTTI,CALCI
NATISONE ,22 - B,TUTTI,PISA
NEGRI ADA ,31 - A,TUTTI,SAN GIULIANO TERME
NELLI MARINELLO ,21 - A,TUTTI,PISA
NENNI PIETRO ,14 - A,TUTTI,PISA
NENNI PIETRO ,49,26;30,PISA
NERI POMPEO ,31 - A,TUTTI,SAN GIULIANO TERME
NERUDA PABLO ,10 - B,TUTTI,CASCINA
NERUDA PABLO ,38 - A,TUTTI,SAN GIULIANO TERME
NEWTON ,36 - B,TUTTI,SAN GIULIANO TERME
NICCOLI VITTORIO ,21 - B,TUTTI,PISA
NICCOLINI GIOVAN BATTISTA ,22 - B,TUTTI,PISA
